
 PRINT EPTO NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL TOTAL STRAIN LISTING *****                                 
  PowerGraphics Is Currently Enabled                                           
 
  LOAD STEP=     1  SUBSTEP=    20                                             
   TIME=    1.0000      LOAD CASE=   0                                         
  NODAL RESULTS ARE FOR MATERIAL   1                                           
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE     EPTOX        EPTOY        EPTOZ        EPTOXY       EPTOYZ       EPTOXZ  
    6211 -0.45634E-004 0.27076E-004 0.77786E-004 0.20759E-005  0.0000       0.0000     
    6271  0.14281E-003-0.60483E-003 0.14280E-003 0.13387E-010  0.0000       0.0000
    6272 -0.43650E-004 0.21318E-004 0.79615E-004 0.18041E-005  0.0000       0.0000     
    6273 -0.41702E-004 0.14712E-004 0.80417E-004 0.18330E-005  0.0000       0.0000     
    6274 -0.39731E-004 0.81129E-005 0.81222E-004 0.18572E-005  0.0000       0.0000     
    6275 -0.37789E-004 0.15565E-005 0.82019E-004 0.18796E-005  0.0000       0.0000     
    6276 -0.35869E-004-0.49695E-005 0.82815E-004 0.19041E-005  0.0000       0.0000     
    6277 -0.33967E-004-0.11471E-004 0.83608E-004 0.19266E-005  0.0000       0.0000     
    6278 -0.32074E-004-0.17957E-004 0.84400E-004 0.19481E-005  0.0000       0.0000     
    6279 -0.30184E-004-0.24437E-004 0.85189E-004 0.19679E-005  0.0000       0.0000     
    6280 -0.28286E-004-0.30922E-004 0.85976E-004 0.19861E-005  0.0000       0.0000     
    6281 -0.26372E-004-0.37421E-004 0.86760E-004 0.20028E-005  0.0000       0.0000     
    6282 -0.24435E-004-0.43944E-004 0.87543E-004 0.20178E-005  0.0000       0.0000     
    6283 -0.22466E-004-0.50500E-004 0.88323E-004 0.20315E-005  0.0000       0.0000     
    6284 -0.20458E-004-0.57096E-004 0.89100E-004 0.20440E-005  0.0000       0.0000     
    6285 -0.18408E-004-0.63737E-004 0.89873E-004 0.20554E-005  0.0000       0.0000     
    6286 -0.16310E-004-0.70429E-004 0.90643E-004 0.20662E-005  0.0000       0.0000     
    6287 -0.14162E-004-0.77173E-004 0.91409E-004 0.20764E-005  0.0000       0.0000     
    6288 -0.11963E-004-0.83972E-004 0.92171E-004 0.20864E-005  0.0000       0.0000     
    6289 -0.97126E-005-0.90823E-004 0.92927E-004 0.20964E-005  0.0000       0.0000     
    6290 -0.74134E-005-0.97724E-004 0.93678E-004 0.21068E-005  0.0000       0.0000     
    6291 -0.50683E-005-0.10467E-003 0.94424E-004 0.21177E-005  0.0000       0.0000     
    6292 -0.26814E-005-0.11166E-003 0.95162E-004 0.21294E-005  0.0000       0.0000     
    6293 -0.25833E-006-0.11868E-003 0.95894E-004 0.21420E-005  0.0000       0.0000     
    6294  0.21947E-005-0.12573E-003 0.96619E-004 0.21557E-005  0.0000       0.0000     
    6295  0.46705E-005-0.13279E-003 0.97336E-004 0.21705E-005  0.0000       0.0000     
    6296  0.71615E-005-0.13987E-003 0.98044E-004 0.21866E-005  0.0000       0.0000     
    6297  0.96597E-005-0.14693E-003 0.98745E-004 0.22040E-005  0.0000       0.0000     
    6298  0.12157E-004-0.15399E-003 0.99437E-004 0.22226E-005  0.0000       0.0000     
    6299  0.14645E-004-0.16103E-003 0.10012E-003 0.22423E-005  0.0000       0.0000     
    6300  0.17116E-004-0.16803E-003 0.10079E-003 0.22632E-005  0.0000       0.0000     
    6301  0.19563E-004-0.17499E-003 0.10146E-003 0.22849E-005  0.0000       0.0000     
    6302  0.21978E-004-0.18190E-003 0.10212E-003 0.23075E-005  0.0000       0.0000     
    6303  0.24355E-004-0.18874E-003 0.10276E-003 0.23306E-005  0.0000       0.0000     
    6304  0.26687E-004-0.19553E-003 0.10340E-003 0.23541E-005  0.0000       0.0000     
    6305  0.28970E-004-0.20224E-003 0.10403E-003 0.23778E-005  0.0000       0.0000     
    6306  0.31200E-004-0.20887E-003 0.10465E-003 0.24015E-005  0.0000       0.0000     
    6307  0.33373E-004-0.21541E-003 0.10527E-003 0.24248E-005  0.0000       0.0000     
    6308  0.35486E-004-0.22187E-003 0.10587E-003 0.24477E-005  0.0000       0.0000     
    6309  0.37538E-004-0.22824E-003 0.10647E-003 0.24699E-005  0.0000       0.0000     
    6310  0.39528E-004-0.23452E-003 0.10706E-003 0.24913E-005  0.0000       0.0000     
    6311  0.41455E-004-0.24071E-003 0.10764E-003 0.25115E-005  0.0000       0.0000     
    6312  0.43320E-004-0.24681E-003 0.10822E-003 0.25305E-005  0.0000       0.0000     
    6313  0.45124E-004-0.25281E-003 0.10879E-003 0.25481E-005  0.0000       0.0000     
    6314  0.46869E-004-0.25872E-003 0.10936E-003 0.25642E-005  0.0000       0.0000     
    6315  0.48557E-004-0.26455E-003 0.10992E-003 0.25787E-005  0.0000       0.0000     
    6316  0.50191E-004-0.27029E-003 0.11047E-003 0.25915E-005  0.0000       0.0000     
    6317  0.51773E-004-0.27595E-003 0.11102E-003 0.26025E-005  0.0000       0.0000     
    6318  0.53308E-004-0.28153E-003 0.11157E-003 0.26117E-005  0.0000       0.0000     
    6319  0.54798E-004-0.28704E-003 0.11211E-003 0.26191E-005  0.0000       0.0000     
    6320  0.56248E-004-0.29247E-003 0.11265E-003 0.26246E-005  0.0000       0.0000     
    6321  0.57660E-004-0.29784E-003 0.11319E-003 0.26284E-005  0.0000       0.0000     
    6322  0.59040E-004-0.30315E-003 0.11372E-003 0.26303E-005  0.0000       0.0000     
    6323  0.60391E-004-0.30840E-003 0.11425E-003 0.26305E-005  0.0000       0.0000     
